City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Honiara,SB,-9.4333,159.95,84.67,71,61,3.85,broken clouds
1,Nicoya,CR,10.1483,-85.452,71.6,94,75,5.75,broken clouds
2,Pevek,RU,69.7008,170.3133,29.16,65,83,15.5,broken clouds
3,Oktyabrskiy,RU,54.4815,53.471,52.09,86,98,6.44,overcast clouds
4,Albany,US,42.6001,-73.9662,59.0,77,90,5.75,overcast clouds
5,Castro,BR,-24.7911,-50.0119,61.59,62,5,2.08,clear sky
6,Butaritari,KI,3.0707,172.7902,83.73,77,72,19.73,light rain
7,Ushuaia,AR,-54.8,-68.3,42.8,87,75,36.82,light rain
8,Rikitea,PF,-23.1203,-134.9692,78.57,79,99,10.96,light rain
9,Teguise,ES,29.0605,-13.564,66.2,63,20,12.66,few clouds
10,Vao,NC,-22.6667,167.4833,73.58,79,49,17.11,scattered clouds
11,Fukuma,JP,33.7667,130.4667,64.99,94,75,9.22,mist
12,Ostrovnoy,RU,68.0531,39.5131,28.89,85,95,11.59,overcast clouds
13,Hermanus,ZA,-34.4187,19.2345,64.0,87,5,5.99,light rain
14,Bluff,NZ,-46.6,168.3333,55.0,58,15,5.01,few clouds
15,Nikolskoye,RU,59.7035,30.7861,36.0,93,90,6.71,light rain
16,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,85,0,4.61,clear sky
17,Tasiilaq,GL,65.6145,-37.6368,26.6,86,2,5.75,clear sky
18,Saint-Francois,FR,46.4154,3.9054,55.4,71,75,9.22,broken clouds
19,Hilo,US,19.7297,-155.09,84.2,54,20,11.5,light rain
20,Estevan,CA,49.1334,-102.9842,57.2,19,40,3.44,scattered clouds
21,Georgetown,MY,5.4112,100.3354,79.0,94,20,5.23,few clouds
22,Alta Floresta,BR,-9.8756,-56.0861,84.2,61,20,3.44,few clouds
23,Noshiro,JP,40.2039,140.0242,55.4,76,75,3.44,light rain
24,Gizo,SB,-8.103,156.8419,83.28,72,84,4.5,light rain
25,Eyl,SO,7.9803,49.8164,83.71,72,84,5.75,broken clouds
26,Sangmelima,CM,2.9333,11.9833,66.54,94,91,2.66,overcast clouds
27,Pangody,RU,65.85,74.4859,20.37,88,83,7.76,broken clouds
28,Sumoto,JP,34.35,134.9,64.4,82,75,18.41,heavy intensity rain
29,Mersing,MY,2.4312,103.8405,77.0,94,91,5.75,overcast clouds
30,Comodoro Rivadavia,AR,-45.8667,-67.5,46.4,61,0,8.05,clear sky
31,Ruteng,ID,-8.6136,120.4721,69.1,70,53,1.19,broken clouds
32,Katherine,AU,-14.4667,132.2667,73.4,56,20,4.61,few clouds
33,Port Alfred,ZA,-33.5906,26.891,66.63,66,40,2.86,scattered clouds
34,Qaanaaq,GL,77.484,-69.3632,25.9,78,83,4.5,broken clouds
35,Chuy,UY,-33.6971,-53.4616,58.6,58,100,11.74,overcast clouds
36,Saskylakh,RU,71.9167,114.0833,29.55,94,100,8.46,overcast clouds
37,Oranjemund,NA,-28.55,16.4333,59.5,91,72,1.45,broken clouds
38,Partizanskoye,RU,55.5006,94.39,35.55,66,29,14.83,scattered clouds
39,Jamestown,US,42.097,-79.2353,63.0,82,90,5.75,overcast clouds
40,Naze,JP,28.3667,129.4833,73.4,94,75,14.97,broken clouds
41,Portland,US,45.5234,-122.6762,70.0,30,20,10.36,few clouds
42,Selikhino,RU,50.3672,137.4996,46.54,47,100,3.27,moderate rain
43,Busselton,AU,-33.65,115.3333,57.99,98,100,4.65,light rain
44,Henties Bay,NA,-22.116,14.2845,65.03,78,5,4.14,clear sky
45,Hualmay,PE,-11.0964,-77.6139,67.57,84,33,12.5,scattered clouds
46,Hobart,AU,-42.8794,147.3294,54.0,76,20,8.05,few clouds
47,Port Elizabeth,ZA,-33.918,25.5701,66.2,88,0,13.8,clear sky
48,Tipperary,IE,52.4733,-8.1558,39.99,85,10,1.99,clear sky
49,Barrow,US,71.2906,-156.7887,17.6,73,90,4.61,light snow
50,Port Blair,IN,11.6667,92.75,83.71,74,88,2.35,overcast clouds
51,Punta Arenas,CL,-53.15,-70.9167,44.6,81,0,25.32,clear sky
52,Kamaishi,JP,39.2667,141.8833,53.6,76,75,1.14,light rain
53,Plettenberg Bay,ZA,-34.0527,23.3716,63.97,80,88,4.88,overcast clouds
54,Vaini,TO,-21.2,-175.2,78.8,78,90,12.66,overcast clouds
55,Longyearbyen,SJ,78.2186,15.6401,26.6,86,75,4.07,light snow
56,Hami,CN,42.8,93.45,59.16,12,2,5.39,clear sky
57,Epinal,FR,48.1833,6.45,46.4,100,75,4.61,broken clouds
58,Reconquista,AR,-29.15,-59.65,55.6,81,100,18.25,overcast clouds
59,Pisco,PE,-13.7,-76.2167,68.0,88,0,21.85,clear sky
60,Kavieng,PG,-2.5744,150.7967,84.38,70,57,1.16,broken clouds
61,Puerto Ayora,EC,-0.7393,-90.3518,80.6,74,20,18.41,few clouds
62,Quime,BO,-16.9833,-67.2167,48.38,94,63,2.19,broken clouds
63,Avarua,CK,-21.2078,-159.775,80.6,74,75,11.5,broken clouds
64,Saldanha,ZA,-33.0117,17.9442,57.2,88,25,10.36,scattered clouds
65,Pimentel,PE,-6.8367,-79.9342,68.0,77,0,21.85,clear sky
66,Zhangjiakou,CN,40.81,114.8794,53.28,20,1,9.82,clear sky
67,Constitucion,CL,-35.3333,-72.4167,55.58,86,5,3.78,clear sky
68,Cherskiy,RU,68.75,161.3,30.0,70,30,12.03,scattered clouds
69,Amahai,ID,-3.3333,128.9167,81.61,77,98,2.57,overcast clouds
70,Dikson,RU,73.5069,80.5464,23.47,95,100,9.15,overcast clouds
71,Lakatoro,VU,-16.0999,167.4164,84.11,71,17,3.67,few clouds
72,Muisne,EC,0.6,-80.0333,82.4,83,20,5.75,few clouds
73,Pandan,PH,14.0453,124.1694,81.72,85,54,10.83,broken clouds
74,Havoysund,NO,70.9963,24.6622,26.6,74,0,3.44,clear sky
75,Lavrentiya,RU,65.5833,-171.0,28.53,67,8,6.08,clear sky
76,Cap Malheureux,MU,-19.9842,57.6142,75.99,90,3,4.0,clear sky
77,Bredasdorp,ZA,-34.5322,20.0403,60.8,88,49,4.61,scattered clouds
78,Vikhorevka,RU,56.1201,101.1636,33.8,64,75,13.42,light snow
79,Tiznit,MA,29.5833,-9.5,58.23,90,96,9.82,overcast clouds
80,Kosh-Agach,RU,50.0,88.6667,34.34,68,43,2.64,scattered clouds
81,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.44,84,10,8.14,clear sky
82,Sechura,PE,-5.5569,-80.8222,73.33,66,27,16.2,scattered clouds
83,Brownsville,US,25.9018,-97.4975,86.0,70,75,13.8,broken clouds
84,Hithadhoo,MV,-0.6,73.0833,83.53,67,28,3.36,scattered clouds
85,Carnarvon,AU,-24.8667,113.6333,60.8,100,75,8.05,light rain
86,Harrisonburg,US,38.4496,-78.8689,73.4,68,1,5.44,clear sky
87,Victoria,HK,22.2855,114.1577,78.01,86,45,7.4,scattered clouds
88,Tukrah,LY,32.5341,20.5791,67.51,56,51,12.33,broken clouds
89,Saint-Philippe,RE,-21.3585,55.7679,75.2,94,75,6.91,light rain
90,Tefe,BR,-3.3542,-64.7114,80.6,89,20,1.72,light rain
91,Kaitangata,NZ,-46.2817,169.8464,60.01,52,21,3.0,few clouds
92,Port-Gentil,GA,-0.7193,8.7815,80.6,89,20,4.61,light rain
93,Lorengau,PG,-2.0226,147.2712,84.63,65,36,2.51,scattered clouds
94,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,86,90,8.05,overcast clouds
95,Sokolo,ML,14.7328,-6.1219,95.61,28,100,6.91,overcast clouds
96,Sur,OM,22.5667,59.5289,81.61,72,5,12.86,clear sky
97,Lieksa,FI,63.3167,30.0167,28.45,79,95,8.12,overcast clouds
98,Lata,PT,40.1629,-8.3327,57.0,87,14,5.99,few clouds
99,Vostok,RU,46.4856,135.8833,38.41,93,100,6.76,moderate rain
100,Puerto Colombia,CO,10.9878,-74.9547,80.6,83,75,6.91,broken clouds
101,Russell,US,32.3502,-85.1999,86.0,54,1,16.11,clear sky
102,Saint George,US,37.1041,-113.5841,84.99,11,1,9.22,clear sky
103,Lompoc,US,34.6391,-120.4579,73.0,56,7,12.66,clear sky
104,Madang,PG,-5.2246,145.7966,84.78,69,48,1.41,scattered clouds
105,Meulaboh,ID,4.1363,96.1285,76.37,90,91,4.03,overcast clouds
106,Sao Filipe,CV,14.8961,-24.4956,71.67,73,39,9.42,scattered clouds
107,Faanui,PF,-16.4833,-151.75,82.69,75,48,14.32,scattered clouds
108,Bengkulu,ID,-3.8004,102.2655,75.61,92,95,5.7,overcast clouds
109,Iqaluit,CA,63.7506,-68.5145,32.0,86,20,3.44,few clouds
110,Mataura,NZ,-46.1927,168.8643,55.0,58,30,5.01,scattered clouds
111,Senanga,ZM,-16.1167,23.2667,61.65,64,10,5.1,clear sky
112,Jacmel,HT,18.2342,-72.5347,84.2,70,40,10.36,scattered clouds
113,Dukat,RU,62.55,155.55,24.85,82,94,3.67,overcast clouds
114,Kahului,US,20.8947,-156.47,84.2,54,40,20.71,light rain
115,Colac,AU,-38.3333,143.5833,53.01,98,63,6.24,broken clouds
116,Requena,ES,39.4883,-1.1004,55.99,84,1,3.02,clear sky
117,Guilin,CN,25.2819,110.2864,66.2,94,90,5.03,overcast clouds
118,Asau,RO,46.4333,26.4,46.0,42,2,5.21,clear sky
119,Samarai,PG,-10.6167,150.6667,81.7,74,51,12.37,broken clouds
120,Elblag,PL,54.1522,19.4088,50.0,77,99,4.0,overcast clouds
121,Kysyl-Syr,RU,63.8986,122.7617,40.12,85,100,5.55,overcast clouds
122,Ribeira Grande,PT,38.5167,-28.7,63.37,88,100,7.43,overcast clouds
123,Garden City,US,42.3256,-83.331,60.01,67,90,14.97,overcast clouds
124,Teguldet,RU,57.3064,88.1667,37.27,66,100,6.46,overcast clouds
125,Gat,IL,31.61,34.7642,75.0,59,95,2.89,overcast clouds
126,Leh,IN,34.1667,77.5833,41.59,83,96,2.64,overcast clouds
127,Norman Wells,CA,65.282,-126.8329,42.8,56,75,9.22,broken clouds
128,Belen,TR,36.4891,36.2233,66.2,68,0,2.3,clear sky
129,Nanortalik,GL,60.1432,-45.2371,38.62,69,100,10.02,overcast clouds
130,Yellowknife,CA,62.456,-114.3525,41.0,33,20,10.36,few clouds
131,Christchurch,NZ,-43.5333,172.6333,69.01,52,9,3.44,clear sky
132,Port Hardy,CA,50.6996,-127.4199,53.6,66,40,12.66,scattered clouds
133,Atuona,PF,-9.8,-139.0333,80.08,78,17,17.56,light rain
134,Cape Town,ZA,-33.9258,18.4232,60.01,94,75,10.36,mist
135,Kavaratti,IN,10.5669,72.642,84.31,72,30,3.13,scattered clouds
136,Waitati,NZ,-45.75,170.5667,57.0,81,28,5.99,scattered clouds
137,Quartucciu,IT,39.2519,9.1794,60.8,88,0,5.75,clear sky
138,Puerto Penasco,MX,31.3167,-113.5333,75.0,69,33,8.99,scattered clouds
139,Bilibino,RU,68.0546,166.4372,21.58,68,4,2.82,clear sky
140,Marzuq,YE,14.4,46.4667,75.16,63,95,4.59,overcast clouds
141,Derzhavinsk,KZ,51.1,66.3167,59.61,52,100,8.79,overcast clouds
142,Lampang,TH,18.3333,99.5,84.0,83,0,3.44,clear sky
143,Sobolevo,RU,54.4299,31.8996,35.98,92,58,7.58,broken clouds
144,Richards Bay,ZA,-28.783,32.0377,61.29,86,0,5.3,clear sky
145,Ilulissat,GL,69.2167,-51.1,39.2,56,0,3.44,clear sky
146,Caravelas,BR,-17.7125,-39.2481,73.36,86,1,5.7,clear sky
147,Urucara,BR,-2.5364,-57.76,73.96,93,85,2.55,overcast clouds
148,Terrace,CA,54.5163,-128.6035,53.6,47,75,4.61,broken clouds
149,Xihua,CN,33.7833,114.5167,60.33,35,94,3.96,overcast clouds
150,Vila Velha,BR,-20.3297,-40.2925,71.6,94,20,3.44,few clouds
151,Adrar,MR,20.5022,-10.0711,81.18,27,57,12.06,broken clouds
152,Upernavik,GL,72.7868,-56.1549,26.83,83,9,4.9,clear sky
153,Salamanca,ES,40.8333,-6.0,51.01,61,0,6.91,clear sky
154,Deputatskiy,RU,69.3,139.9,28.08,95,98,3.13,overcast clouds
155,Giyani,ZA,-23.3025,30.7187,57.85,60,0,3.89,clear sky
156,Binga,ZW,-17.6203,27.3414,61.77,70,0,2.48,clear sky
157,Mitsamiouli,KM,-11.3847,43.2844,79.27,71,32,14.38,scattered clouds
158,Wilkie,CA,52.4168,-108.7014,55.4,16,1,3.44,clear sky
159,Dossor,KZ,47.5272,52.9811,63.91,46,65,16.87,broken clouds
160,Lebu,CL,-37.6167,-73.65,54.09,78,16,3.94,few clouds
161,Yatou,CN,37.15,122.3833,58.37,36,0,15.7,clear sky
162,Port Augusta,AU,-32.5,137.7667,57.2,67,37,5.75,scattered clouds
163,Souillac,MU,-20.5167,57.5167,75.2,100,40,3.44,scattered clouds
164,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.0,75,90,13.8,overcast clouds
165,Dourbali,TD,11.8091,15.8632,85.44,46,91,12.35,overcast clouds
166,Aleksandrov Gay,RU,50.147,48.5704,48.04,74,85,9.91,overcast clouds
167,Raga,SS,8.4596,25.678,74.34,77,100,2.42,overcast clouds
168,Mahebourg,MU,-20.4081,57.7,75.2,100,40,3.44,scattered clouds
169,Golyshmanovo,RU,56.3979,68.3728,56.34,48,100,11.18,overcast clouds
170,Sistranda,NO,63.7256,8.834,42.8,56,75,24.16,broken clouds
171,Shunyi,CN,40.125,116.6453,57.2,41,0,2.24,clear sky
172,Airai,TL,-8.9266,125.4092,64.74,82,100,4.12,overcast clouds
173,Khandyga,RU,62.6667,135.6,43.23,70,100,5.5,overcast clouds
174,Ust-Maya,RU,60.4167,134.5333,44.29,72,100,7.52,overcast clouds
175,Chokurdakh,RU,70.6333,147.9167,31.3,97,100,5.1,overcast clouds
176,Vardo,NO,70.3705,31.1107,32.0,74,75,13.8,broken clouds
177,East London,ZA,-33.0153,27.9116,66.34,59,4,3.42,clear sky
178,Walvis Bay,NA,-22.9575,14.5053,62.6,72,0,1.14,clear sky
179,Havlickuv Brod,CZ,49.6078,15.5807,52.0,100,100,13.0,overcast clouds
180,Houma,US,29.5958,-90.7195,82.0,83,90,12.66,haze
181,Katsuura,JP,35.1333,140.3,69.8,73,75,17.27,broken clouds
182,Kongwa,TZ,-6.2,36.4167,62.58,96,66,3.98,broken clouds
183,Safford,US,32.834,-109.7076,84.2,12,1,4.23,clear sky
184,Yeppoon,AU,-23.1333,150.7333,73.4,78,20,1.14,few clouds
185,Bintulu,MY,3.1667,113.0333,75.2,94,40,6.87,light rain
186,Husavik,IS,66.0449,-17.3389,30.2,74,0,1.14,clear sky
187,Torbay,CA,47.6666,-52.7314,44.6,61,75,8.05,broken clouds
188,Kijang,KR,35.2442,129.2139,64.4,55,0,13.8,clear sky
189,Erzincan,TR,39.75,39.5,53.6,71,75,3.44,broken clouds
190,Cidreira,BR,-30.1811,-50.2056,67.37,93,97,13.38,overcast clouds
191,Dhola,IN,21.8833,71.7833,84.9,48,0,11.16,clear sky
192,Puerto Cabezas,NI,14.0351,-83.3888,84.2,84,40,6.91,scattered clouds
193,Stokmarknes,NO,68.5646,14.9108,39.2,56,75,8.05,broken clouds
194,Kirakira,SB,-10.4544,161.9205,83.97,70,52,4.29,broken clouds
195,Pitimbu,BR,-7.4706,-34.8086,73.4,100,75,3.96,broken clouds
196,Key West,US,24.5557,-81.7826,82.4,78,40,12.66,scattered clouds
197,Bud,US,39.447,-86.1758,57.0,95,100,11.43,overcast clouds
198,Lengshuitan,CN,26.4111,111.5956,67.53,78,100,3.29,overcast clouds
199,Ucluelet,CA,48.9329,-125.5528,57.0,62,20,16.11,few clouds
200,Namatanai,PG,-3.6667,152.4333,85.35,67,28,2.62,scattered clouds
201,Mackay,AU,-21.15,149.2,78.01,83,7,6.91,clear sky
202,Antonina,BR,-25.4286,-48.7119,60.8,77,20,2.3,few clouds
203,Pangnirtung,CA,66.1451,-65.7125,32.0,86,1,11.5,clear sky
204,Yar-Sale,RU,66.8333,70.8333,10.62,99,63,4.36,broken clouds
205,Kapaa,US,22.0752,-159.319,80.6,69,40,12.66,scattered clouds
206,Baoding,CN,38.8511,115.4903,62.35,18,0,13.13,clear sky
207,Tuatapere,NZ,-46.1333,167.6833,55.99,57,11,5.01,few clouds
208,Bani Walid,LY,31.7566,13.9942,65.43,60,90,5.99,overcast clouds
209,Shu,KZ,43.5983,73.7614,59.02,36,6,3.06,clear sky
210,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,82,20,3.44,few clouds
211,Fukue,JP,32.6881,128.8419,60.8,88,75,12.66,broken clouds
212,Clyde River,CA,70.4692,-68.5914,28.4,80,20,18.41,snow
213,Chara,RU,56.9064,118.2631,37.0,85,100,1.1,overcast clouds
214,Padang,ID,-0.9492,100.3543,75.2,94,40,3.44,scattered clouds
215,Dubrovytsya,UA,51.5744,26.565,47.86,70,100,14.43,overcast clouds
216,Komsomolskiy,UZ,40.4272,71.7189,71.6,72,80,2.3,broken clouds
217,Pathein,MM,16.7833,94.7333,81.52,74,1,5.03,clear sky
218,Carlsbad,US,33.1581,-117.3506,75.0,68,1,9.22,clear sky
219,Aykhal,RU,66.0,111.5,31.6,83,54,3.4,broken clouds
220,Jega,NG,12.2175,4.3792,88.41,35,85,10.96,overcast clouds
221,Ugoofaaru,MV,5.6667,73.0,83.79,70,21,0.63,few clouds
222,Provideniya,RU,64.3833,-173.3,30.2,69,0,2.24,clear sky
223,Kodiak,US,57.79,-152.4072,44.6,61,75,16.11,broken clouds
224,Primo Tapia,MX,32.22,-116.9172,73.4,56,1,16.11,clear sky
225,Severo-Kurilsk,RU,50.6789,156.125,35.55,94,67,10.18,broken clouds
226,Quelimane,MZ,-17.8786,36.8883,66.2,94,20,2.93,few clouds
227,Huilong,CN,31.8111,121.655,66.0,81,90,7.72,overcast clouds
228,Niigata,JP,37.9022,139.0236,68.0,42,0,11.5,light rain
229,Guadalupe Victoria,MX,32.2869,-115.105,98.01,10,1,17.07,clear sky
230,Yulara,AU,-25.2406,130.9889,60.8,59,83,11.5,broken clouds
231,Chapais,CA,49.7834,-74.8492,51.8,40,90,8.05,overcast clouds
232,Kouango,CF,4.9934,19.9619,71.37,96,97,3.62,light rain
233,Belgrade,RS,44.804,20.4651,60.8,44,0,4.61,clear sky
234,Vernon,CA,50.2581,-119.2691,68.0,31,92,3.44,overcast clouds
235,Buchanan,LR,5.8808,-10.0467,78.8,94,75,5.26,broken clouds
236,Labuhan,ID,-6.8844,112.2051,80.4,81,97,7.96,overcast clouds
237,Birjand,IR,32.8663,59.2211,48.2,100,20,4.61,few clouds
238,Meadow Lake,US,34.8014,-106.5436,77.0,24,40,4.61,scattered clouds
239,Maasim,PH,5.8575,125.0061,83.5,71,84,14.36,broken clouds
240,Bethel,US,41.3712,-73.414,61.0,85,97,1.01,overcast clouds
241,Berlevag,NO,70.8578,29.0864,33.8,64,75,10.36,broken clouds
242,Goderich,CA,43.7501,-81.7165,42.8,93,100,14.97,overcast clouds
243,Tete,MZ,-16.1564,33.5867,66.0,82,0,3.44,clear sky
244,San Policarpo,PH,12.1791,125.5072,81.79,85,72,14.27,broken clouds
245,Harbour Breton,CA,47.4833,-55.7983,39.22,84,25,7.65,scattered clouds
246,Callaway,US,30.153,-85.5699,80.6,83,1,10.36,clear sky
247,Allonnes,FR,47.9674,0.1581,46.4,76,0,3.44,clear sky
248,Bogande,BF,12.9714,-0.1436,89.38,43,100,17.69,overcast clouds
249,Yushu,CN,44.8,126.5333,54.5,37,13,15.41,few clouds
250,Beitbridge,ZW,-22.2167,30.0,60.67,58,0,1.99,clear sky
251,Esperance,AU,-33.8667,121.9,59.0,94,90,16.11,light rain
252,Westport,US,41.1415,-73.3579,60.01,82,90,9.22,overcast clouds
253,Nitra,SK,48.3076,18.0845,59.0,44,100,6.91,overcast clouds
254,Narsaq,GL,60.9167,-46.05,48.2,23,75,36.82,broken clouds
255,Ilo,PE,-17.6394,-71.3375,67.57,81,100,8.39,overcast clouds
256,Flin Flon,CA,54.7682,-101.865,44.6,33,75,5.75,broken clouds
257,Aksarka,RU,66.5606,67.7975,17.69,95,68,6.06,broken clouds
258,Kamenka,RU,51.3223,42.7678,41.0,75,3,8.79,clear sky
259,Troitskoye,RU,52.9821,84.6757,41.72,67,57,4.7,broken clouds
260,Porto Murtinho,BR,-21.6989,-57.8825,81.34,52,41,3.78,scattered clouds
261,San Cristobal,VE,7.7669,-72.225,82.4,69,40,4.61,scattered clouds
262,Lusambo,CD,-4.9667,23.45,69.78,96,61,1.59,light rain
263,Matara,LK,5.9485,80.5353,76.91,88,97,2.8,overcast clouds
264,Coari,BR,-4.085,-63.1414,73.76,96,61,1.99,broken clouds
265,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,56,90,19.57,overcast clouds
266,Kulhudhuffushi,MV,6.6221,73.07,84.36,71,100,4.16,overcast clouds
267,Puerto Del Rosario,ES,28.5004,-13.8627,66.2,55,20,21.85,few clouds
268,Pafos,CY,34.7667,32.4167,64.0,67,0,3.44,clear sky
269,Dubbo,AU,-32.25,148.6167,57.2,82,90,8.05,overcast clouds
270,Leningradskiy,RU,69.3833,178.4167,25.11,74,14,6.4,few clouds
271,Tshela,CD,-4.9833,12.9333,72.81,99,100,1.19,overcast clouds
272,Ratnagiri,IN,16.9833,73.3,81.43,74,1,2.24,clear sky
273,Thinadhoo,MV,0.5333,72.9333,83.43,68,78,3.13,broken clouds
274,Saint Anthony,US,45.0205,-93.218,59.0,35,40,13.8,scattered clouds
275,Bara,NG,10.3744,10.7288,82.67,54,46,8.95,scattered clouds
276,Slyudyanka,RU,51.6594,103.7061,35.35,90,100,8.93,overcast clouds
277,Jaguaruana,BR,-4.8339,-37.7811,74.37,92,100,5.86,overcast clouds
278,Christiana,ZA,-27.914,25.1611,56.73,46,1,6.2,clear sky
279,Andenes,NO,69.3143,16.1194,37.4,70,90,12.66,overcast clouds
280,Bagdarin,RU,54.4333,113.6,40.48,47,2,5.37,clear sky
281,Polovinnoye,RU,54.7914,65.9864,56.1,53,100,8.95,overcast clouds
282,College,US,64.8569,-147.8028,61.0,29,75,4.61,broken clouds
283,Katangli,RU,51.7102,143.2326,30.25,89,97,7.16,overcast clouds
284,Batticaloa,LK,7.7102,81.6924,79.41,81,97,3.96,overcast clouds
285,Nouadhibou,MR,20.931,-17.0347,66.2,68,0,23.02,sand
286,New Norfolk,AU,-42.7826,147.0587,51.01,82,24,3.47,few clouds
287,Champerico,GT,14.3,-91.9167,73.4,94,90,9.22,overcast clouds
288,Tigil,RU,57.8,158.6667,39.61,51,1,7.0,clear sky
289,Wichita,US,37.6922,-97.3375,66.2,26,1,14.97,clear sky
290,Ojinaga,MX,29.5667,-104.4167,84.2,17,1,0.94,clear sky
291,Vero Beach,US,27.6386,-80.3973,84.2,61,1,18.41,clear sky
292,Bandarbeyla,SO,9.4942,50.8122,83.16,71,89,3.09,overcast clouds
293,Mar Del Plata,AR,-38.0023,-57.5575,54.0,71,20,4.61,few clouds
294,Ouallam,NE,14.3188,2.0866,90.14,6,43,8.25,scattered clouds
295,Dolgoderevenskoye,RU,55.3444,61.3444,55.4,54,0,11.18,clear sky
296,Beringovskiy,RU,63.05,179.3167,28.99,80,97,5.84,overcast clouds
297,Port Lincoln,AU,-34.7333,135.8667,59.83,61,100,13.27,overcast clouds
298,Urubicha,BO,-15.3833,-62.95,74.62,80,23,0.81,few clouds
299,Bindi,SL,9.9167,-11.45,73.62,89,82,5.91,broken clouds
300,Lewistown,US,40.5992,-77.5714,73.4,1,40,4.61,haze
301,Rio Gallegos,AR,-51.6226,-69.2181,46.4,57,0,26.46,clear sky
302,Khatanga,RU,71.9667,102.5,32.5,93,100,5.21,overcast clouds
303,Abha,SA,18.2164,42.5053,60.8,55,0,5.95,clear sky
304,Kasongo-Lunda,CD,-6.4667,16.8167,69.4,96,58,1.12,light rain
305,Vila,PT,42.0304,-8.1588,48.99,82,81,1.01,broken clouds
306,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,79.77,63,54,4.5,broken clouds
307,Carauari,BR,-4.8828,-66.8958,74.84,93,99,2.42,overcast clouds
308,Lagoa,PT,39.05,-27.9833,62.11,89,96,12.46,overcast clouds
309,Maragogi,BR,-9.0122,-35.2225,76.66,82,33,3.31,scattered clouds
310,Fort Nelson,CA,58.8053,-122.7002,48.2,81,75,3.44,broken clouds
311,Klaksvik,FO,62.2266,-6.589,35.6,80,20,23.02,few clouds
312,Cassilandia,BR,-19.1133,-51.7342,69.35,31,6,1.25,clear sky
313,Smolenka,RU,52.1352,113.4974,39.2,48,1,2.24,clear sky
314,Pirajui,BR,-21.9986,-49.4572,80.6,41,0,1.14,clear sky
315,Guerrero Negro,MX,27.9769,-114.0611,67.78,61,1,16.44,clear sky
316,Rovaniemi,FI,66.5,25.7167,28.4,50,0,10.36,clear sky
317,Atar,MR,20.5169,-13.0499,82.47,18,4,11.68,clear sky
318,Abu Zabad,SD,12.35,29.25,81.7,50,99,6.78,overcast clouds
319,Mastic Beach,US,40.7668,-72.8521,59.0,77,1,5.75,clear sky
320,Mount Gambier,AU,-37.8333,140.7667,53.6,87,75,6.91,broken clouds
321,Zhangye,CN,38.9342,100.4517,54.01,9,18,0.87,few clouds
322,Diego De Almagro,CL,-26.3667,-70.05,58.41,51,0,2.01,clear sky
323,Isangel,VU,-19.55,169.2667,80.6,78,20,5.75,few clouds
324,Estancia,BR,-11.2683,-37.4383,73.4,94,75,4.61,broken clouds
325,Codrington,AU,-38.2667,141.9667,58.17,71,62,8.41,broken clouds
326,Udachnyy,RU,66.4167,112.4,32.83,90,100,3.2,overcast clouds
327,Kaspiysk,RU,42.8816,47.6392,57.2,77,40,29.08,scattered clouds
328,Sinnamary,GF,5.3833,-52.95,77.85,84,62,6.96,broken clouds
329,Cerrito,CO,6.8432,-72.694,69.8,100,40,3.44,scattered clouds
330,Telimele,GN,10.9167,-13.3333,73.17,73,98,3.58,overcast clouds
331,Ampanihy,MG,-24.7,44.75,66.51,73,52,7.45,broken clouds
332,Lasa,IT,46.6166,10.7002,52.0,81,75,6.91,broken clouds
333,Aden,YE,12.7794,45.0367,84.11,76,72,10.83,broken clouds
